Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
7.602,3.455,3.144,282.474679937697,20.275,43.2371517108753,34347
6.959,3.462,3.15,146.950652866937,19.597,39.7359020218961,34408
6.39,3.519,3.036,589.291016936149,17.848,35.7454290735737,34526
7.563,3.809,3.164,467.597761125221,20.42,47.7243662775485,34586
7.682,3.929,3.104,325.433827141989,20.554,49.0542529876613,34646
7.705,3.938,3.104,192.755086190886,20.276,49.3138250114018,34702
4.94,3.399,3.036,96.0642723305793,13.611,26.6918393954446,34758
6.778,3.241,3.059,576.1291157539,17.524,35.185092315564,34819
7.297,3.254,3.104,444.783014118832,18.191,38.5906620932724,34875
7.342,3.249,3.104,354.585452364553,18.265,38.7689845890448,34925
7.342,3.242,3.104,208.008748845152,18.341,38.6854564597363,34976
5.257,3.218,3.082,104.488727094924,14.352,27.2995364973237,35031
6.919,3.649,3.14,563.779306081447,19.935,41.5093052300119,35500
7.146,3.68,3.177,431.603169601405,20.369,43.74482340759,35557
7.226,3.707,3.201,298.810453363895,20.61,44.8957095499968,35617
7.15,3.681,3.175,158.678127913171,20.564,43.7536422194518,35670
4.192,3.671,3.127,80.7967731354299,12.524,25.1960326255859,35725
5.212,2.583,2.243,617.330160779906,10.736,15.8109042679689,35773
5.989,2.579,2.266,492.653059767555,11.988,18.3258523455511,35825
5.957,2.604,2.288,331.772696926893,12.178,18.5833164496329,35903
5.975,2.606,2.284,184.905859791178,12.049,18.6211733406366,35964
6.737,3.54,3.243,551.662933968521,17.677,40.4963032865312,36021
6.767,3.562,3.265,426.640197943334,17.951,41.207085571825,36075
6.768,3.545,3.275,302.870396496278,18.017,41.1421057542601,36128
6.704,3.551,3.253,218.125386959871,17.887,40.5478063323938,36182
4.487,3.83,3.467,633.907945808763,13.758,31.1966030882236,38013
7.546,3.875,3.535,559.465630132979,22.821,54.122337872931,38075
7.682,3.92,3.558,414.398207834137,23.38,56.100267993842,38131
7.659,3.933,3.603,320.474424972618,23.441,56.8275457616658,38184
7.637,3.956,3.58,180.188520859486,23.316,56.6318465404441,38238
4.713,3.92,3.512,93.5363786021735,15.648,33.9732141205191,38293
6.977,2.984,2.507,591.042016157359,12.183,27.3287959529807,42046
7.174,3.009,2.538,450.296043953055,12.586,28.6862513994546,42103
6.114,2.725,2.561,361.163423349138,12.455,22.3408731040605,42155
6.081,2.704,2.558,212.502377665286,12.274,22.0232218233785,42208
7.002,2.966,2.901,514.628320351508,15.426,31.5456589878022,42264
6.957,3.005,2.901,378.600326067927,15.643,31.7550521873006,42322
6.979,2.991,2.961,236.666119940735,15.653,32.3628411137441,42382
5.892,2.946,2.946,114.043944061973,13.555,26.7748376092819,42439
6.402,2.973,2.937,495.916247495195,14.649,29.2693547118438,42498
6.402,3.014,2.955,361.803562781045,14.845,29.8548590618167,42556
6.39,3.014,2.956,228.371819870009,14.747,29.8089829183671,42612
6.051,2.493,2.478,521.602909309361,11.967,19.5726376384136,42987
6.209,2.538,2.493,395.693546462243,12.191,20.5699946347863,43049
6.277,2.538,2.515,265.429298109732,12.265,20.978786254676,43102
6.232,2.538,2.529,181.053100067826,12.239,20.9443320279114,43153
5.906,3.603,3.225,602.833384597951,16.875,35.9323851424331,44243
7.174,3.648,3.241,488.537967611974,19.366,44.4113377736487,44295
7.275,3.69,3.256,357.746216455946,19.905,45.7659395209254,44353
7.301,3.726,3.258,227.430872738049,20.018,46.406081806303,44412
5.801,3.671,3.263,117.531697144174,16.602,36.3833719325526,44472
6.933,2.816,2.814,581.138570205943,15.8,28.7658072508408,45260
7.236,2.852,2.833,446.120345344186,16.623,30.6121107730024,45313
7.248,2.868,2.833,316.525282015224,16.797,30.8348988769165,45372
7.3,2.855,2.855,189.797251175619,16.725,31.1554269820592,45432
5.869,3.716,2.697,601.175111903515,18.144,30.797777962635,45654
7.027,3.739,2.74,490.711241096956,20.235,37.6942063613407,45709
7.093,3.739,2.76,361.334575397921,20.464,38.3259677110878,45765
7.093,3.739,2.742,226.817359847772,20.464,38.0760157477546,45823
6.617,2.855,2.515,555.259197747899,14.532,24.8773352568586,46022
6.662,2.903,2.538,402.434707426813,14.798,25.7005196290903,46078
6.685,2.901,2.538,272.293783738338,14.76,25.7714812233744,46130
6.481,2.891,2.538,142.236306536351,14.579,24.8989110203879,46188
6.312,2.778,2.515,556.497877310395,13.849,23.0906332445991,46392
6.413,2.833,2.538,427.757629548297,14.03,24.1433791426845,46450
6.436,2.871,2.561,280.022126804312,14.052,24.7774967989719,46514
6.368,2.835,2.538,147.133207572759,13.882,23.9908899203674,46569
5.153,3.127,2.711,637.041666666667,11.845,22.8726331043419,46678
7.306,3.155,2.732,528.596788957501,17.67,32.9729913591391,46730
7.364,3.203,2.746,389.672212296624,17.963,33.9132861001801,46789
7.308,3.22,2.739,256.064173664276,18.009,33.7477687821404,46850
6.18,3.172,2.73,126.138550215234,16.362,28.0209543816996,46910
6.639,2.969,2.81,580.429182699044,15.881,29.0013228796476,47649
7.419,3.005,2.878,454.119250101609,16.635,33.5953569121177,47712
7.41,3.046,2.901,326.347553453421,16.719,34.284234589242,47765
7.319,3.031,2.901,196.412618614038,16.496,33.6964411005033,47819
6.16,3.288,2.962,555.29198187908,15.51,31.4120440300329,47873
6.258,3.318,2.994,394.59862647433,15.876,32.5508518765184,47933
6.299,3.33,3.001,259.248899758107,16.062,32.9594882231913,47989
5.96,3.308,2.95,127.038363213267,15.667,30.4531624288592,48043
7.076,3.377,2.923,560.820416641458,16.975,36.5717988600112,48677
7.318,3.444,2.965,430.613840802981,17.249,39.1272088005736,48734
7.383,4.921,2.985,301.700432862449,17.557,56.7844196082039,48793
