Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.506,3.331,3.013,20.18,39.4439996932755,-14.9314165115356,-87.2736892700195
7.509,3.331,2.991,20.207,39.1716416068228,-14.9314184188843,0
7.509,3.329,2.994,20.2,39.1873880781627,-14.6208753585815,-87.6140594482422
7.512,3.331,3.01,20.229,39.4362244619446,-14.9314165115356,-87.2736892700195
7.505,3.316,3.013,20.165,39.2611460271061,-14.6208753585815,-87.1375961303711
7.504,3.325,3.011,20.21,39.3363312822263,-14.9314184188843,-87.1375961303711
7.504,3.325,3.011,20.199,39.3363312822263,-14.9314184188843,-87.2736892700195
7.516,3.331,3.014,20.208,39.5096583650306,-14.9314165115356,-87.2736892700195
7.517,3.333,3.011,20.25,39.4992856779836,-14.5344543457031,-87.2736892700195
7.516,3.331,2.991,20.212,39.2081579860008,-14.9314165115356,0
7.512,3.334,3.013,20.225,39.5110825327562,-14.4702959060669,-87.2736892700195
7.51,3.331,3.013,20.233,39.4650196771248,-14.9314165115356,-87.3974456787109
7.507,3.319,3.013,20.174,39.3071378905975,-14.9314184188843,-87.2736892700195
7.516,3.331,2.991,20.2,39.2081579860008,-14.9314165115356,0
7.509,3.323,3.013,20.173,39.3649949070859,-14.6208753585815,-87.2736892700195
7.506,3.322,3.013,20.199,39.3374262927233,-14.7435626983643,-87.1375961303711
7.506,3.331,2.991,20.211,39.1559917300322,-14.9314165115356,0
7.504,3.325,2.991,20.18,39.0750471156223,-14.9314184188843,0
7.507,3.331,3.013,20.21,39.4492546892378,-14.9314184188843,-87.1375961303711
7.519,3.331,2.991,20.24,39.2238078627914,-14.9314184188843,0
7.504,3.329,2.991,20.17,39.1220546910998,-14.6208744049072,0
7.513,3.331,3.013,20.23,39.4807846650118,-14.9314184188843,-87.2736892700195
7.506,3.329,2.991,20.179,39.1324816779577,-14.6208744049072,0
7.506,3.322,3.011,20.187,39.3113144929936,-14.9314165115356,-87.2736892700195
7.506,3.322,3.011,20.207,39.3113144929936,-14.9314165115356,-87.2736892700195
7.507,3.331,3.011,20.225,39.4230686589098,-14.9314184188843,-87.2736892700195
7.512,3.331,2.991,20.221,39.1872914836134,-14.9314165115356,0
7.507,3.331,3.011,20.22,39.4230686589098,-14.9314184188843,-87.1375961303711
7.516,3.331,2.991,20.243,39.2081579860008,-14.9314165115356,0
7.506,3.331,3.014,20.203,39.457090964332,-14.9314165115356,-87.2736892700195
7.519,3.331,3.012,20.246,39.4992006963315,-14.9314184188843,-87.1375961303711
